Fuel type,license type,driving license,Gear type,Glass,Motor power,Payment method,Previous owners,Number Of Passengers,magnesium_rims,sunroof,Name,Model,Price,scaled_motor_power,normalized_price,brand,type,Alfa Romeo,Audi,BMW,Bus,Cadillac,Chevrolet,Citroen,DAF,Dacia,Daewoo,Daihatsu,Dodge,Fiat,Ford,GMC,Honda,Hyundai,Isuzu,Iveco,Jaguar,Jeep,Kia,Land Rover,Mazda,Mercedes,Mitsubishi,Motorcycle,Nissan,Opel,Peugeot,Renault,Rover,Seat,Skoda,SsangYong,Subaru,Suzuki,Toyota,Truck,Volkswagen,Volvo
1,5,1,3,1,1400.0,1,1,5,20,20,هونداي اكسنت,2005,24000.0,0.375,0.1506955737413506,Hyundai,اكسنت,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,5,1,3,1,1600.0,1,1,5,20,20,هونداي توسان,2015,115000.0,0.45833333333333337,0.7498173007920258,Hyundai,توسان,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,6,1,1,1,2500.0,0,1,6,0,0,فولكسفاجن كادي,2015,100000.0,0.8333333333333334,0.6510609721572992,Volkswagen,كادي,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,5,1,1,1,1200.0,1,1,5,0,0,هونداي توسان,2007,45000.0,0.29166666666666663,0.28895443382996794,Hyundai,توسان,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,5,1,3,1,1900.0,1,3,5,20,0,هونداي اكسنت,2014,65000.0,0.5833333333333334,0.4206295386762702,Hyundai,اكسنت,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,5,1,3,1,1400.0,1,1,5,0,0,كيا سول,2014,68000.0,0.375,0.4403808044032155,Kia,سول,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,5,1,3,1,1600.0,0,3,5,20,0,بيجو بارتنر,2014,80000.0,0.45833333333333337,0.5193858673109969,Peugeot,بارتنر,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1,5,1,3,1,1600.0,1,1,5,0,0,فولكسفاجن كرافتر,2012,10000.0,0.45833333333333337,0.05852300034893903,Volkswagen,كرافتر,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,4,1,2,1,1600.0,1,2,5,20,0,فولكسفاجن بولو,2014,60000.0,0.45833333333333337,0.3877107624646946,Volkswagen,بولو,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2,1,1,1,1,1900.0,0,3,5,20,20,سكودا رابيد,2013,58000.0,0.5833333333333334,0.3745432519800644,Skoda,رابيد,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
