لون السيارة,نوع الوقود,أصل السيارة,رخصة السيارة,نوع الجير,الزجاج,قوة الماتور,عداد السيارة,وسيلة الدفع,معروضة,أصحاب سابقون,عدد الركاب,الدفع,air_conditioner,central_closing,alarm_devise,CD_recorder,leather_upholstery,air_cushion,magnesium_rims,sunroof,التكميلي (جسم المركبة),طرف ثالث,المجموع,name_car,model_car,price_car
سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,إمكانية التقسيط,للبيع أو التبديل,,4+1,,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1340.0,1000.0,2340.0,هونداي اكسنت,موديل سنة 2016,63000.0
أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3000,,إمكانية التقسيط,للبيع فقط,يد 0,6+1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1690.0,6126.0,7816.0,فولكسفاجن كادي,موديل سنة 2011,68000.0
سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1500,280000,نقدا فقط,للبيع أو التبديل,,4+1,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1035.0,1000.0,2035.0,فولكسفاجن GTI,موديل سنة 2016,120000.0
أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,115000,نقدا فقط,للبيع فقط,يد ثانيه,4+1,دفع أمامي,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1340.0,2013.0,3353.0,اودي A4,موديل سنة 2010,83000.0
أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,124,نقدا فقط,للبيع فقط,0,6+1,دفع رباعي 4x4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1340.0,2976.0,4315.0,هونداي توسان,موديل سنة 2015,109999.0
أسود,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,,نقدا فقط,للبيع فقط,0,6+1,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1340.0,1751.0,3090.0,بيجو 307,موديل سنة 2007,37000.0
سكني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,160000,نقدا فقط,للبيع فقط,3,4+1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1340.0,1000.0,2340.0,تويوتا لاند كروزر,موديل سنة 2014,350000.0
سكني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2500,0000,نقدا فقط,للبيع فقط,5,6+1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1690.0,1000.0,2690.0,,,
فيراني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,65 الف,نقدا فقط,للبيع فقط,يد اولى,4+1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1035.0,1138.0,2173.0,هونداي اكسنت,موديل سنة 2005,24000.0
أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,130000,نقدا فقط,للبيع فقط,يد ثالثه,4+1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1340.0,1190.0,2530.0,هونداي توسان,موديل سنة 2015,115000.0
أسود,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,160000,إمكانية التقسيط,للبيع أو التبديل,1,6+1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1340.0,1401.0,2740.0,سكودا كودياك,موديل سنة 2018,170000.0
أبيض عاجي,ديزل,تجاري,فلسطينية,عادي,الكتروني,2500,75000,إمكانية التقسيط,للبيع أو التبديل,يد اولى,5+1,دفع خلفي,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1690.0,1000.0,2690.0,فولكسفاجن كادي,موديل سنة 2015,100000.0
فيراني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,70000,نقدا فقط,للبيع أو التبديل,يد اولى,4+1,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1035.0,1050.0,2085.0,هونداي توسان,موديل سنة 2007,45000.0
أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,000,نقدا فقط,للبيع فقط,---,4+1,دفع أمامي,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1340.0,1016.0,2355.0,كيا سورينتو,موديل سنة 2007,45000.0
فضي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1900,200000,نقدا فقط,للبيع فقط,3,4+1,دفع أمامي,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,670.0,500.0,1170.0,هونداي اكسنت,موديل سنة 2014,65000.0
أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,,نقدا فقط,للبيع أو التبديل,يد اولى,4+1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1035.0,1000.0,2035.0,كيا سول,موديل سنة 2014,68000.0
أزرق سماوي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,95000,نقدا فقط,للبيع أو التبديل,03,4+1,,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1340.0,1000.0,2340.0,,,
فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,200000,إمكانية التقسيط,للبيع فقط,,4+1,دفع أمامي,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,670.0,500.0,1170.0,بيجو بارتنر,موديل سنة 2014,80000.0
